town,price,size,bedrooms,bathrooms
Woodlands,488000,101,3,2
Queenstown,468000,65,2,2
Serangoon,400000,70,2,2
Yishun,670000,112,3,2
Hougang,450000,67,2,2
Tampines,670000,119,4,2
Queenstown,640888,86,3,2
Bukit Batok,715000,95,3,2
Jurong West,749888,144,4,2
Woodlands,598000,93,3,2
Jurong West,498000,91,3,2
Sembawang,318000,46,1,1
Kallang/Whampoa,1122011,107,3,2
Hougang,388000,67,3,2
Tampines,910000,142,4,2
Ang Mo Kio,999999,113,3,2
Choa Chu Kang,560000,93,3,2
Ang Mo Kio,480000,93,3,2
Tampines,620000,127,4,2
Serangoon,750000,100,3,2
Ang Mo Kio,690000,68,2,2
Queenstown,968000,93,3,2
Ang Mo Kio,1200000,111,3,2
Ang Mo Kio,399000,73,2,2
Toa Payoh,798000,93,3,2
Bukit Panjang,499000,110,3,2
Punggol,580000,110,3,2
Tampines,550000,91,3,0
Choa Chu Kang,548000,92,3,2
Tampines,560000,103,3,2
Jurong West,810000,121,4,3
Bedok,588000,115,3,2
Ang Mo Kio,368000,67,2,2
Bukit Merah,948000,110,3,0
Kallang/Whampoa,615000,93,3,2
Sembawang,430000,68,2,2
Jurong West,548000,94,3,2
Kallang/Whampoa,960000,93,3,2
Sengkang,599000,90,3,2
Geylang,620000,92,3,2
Geylang,620000,92,3,2
Sengkang,3500,111,3,2
Choa Chu Kang,750000,142,4,2
Tampines,600000,104,3,2
Bukit Merah,868000,123,3,2
Bedok,995000,140,4,2
Choa Chu Kang,478000,106,3,2
Ang Mo Kio,780000,93,3,2
Bukit Batok,400000,67,2,2
Clementi,395000,67,2,2
Bukit Panjang,480000,100,3,2
Toa Payoh,340000,65,2,1
Kallang/Whampoa,665000,70,2,2
Toa Payoh,590000,67,2,2
Choa Chu Kang,470000,104,3,2
Sengkang,565000,115,3,2
Choa Chu Kang,520000,110,3,2
Bukit Batok,540000,101,3,2
Sembawang,620000,121,4,2
Geylang,530000,104,3,2
Woodlands,800000,170,4,3
Bedok,628888,106,3,2
Hougang,540000,100,3,2
Marine Parade,848000,121,4,2
Woodlands,515000,92,3,2
Queenstown,880000,93,3,2
Sembawang,485000,94,3,2
Pasir Ris,625000,124,4,2
Sengkang,500000,93,3,2
Toa Payoh,738000,105,3,2
Bukit Merah,788000,100,3,2
Woodlands,545000,93,3,2
Sengkang,750000,130,4,2
Sengkang,500000,95,3,2
Bedok,660000,128,3,2
Central Area,470000,60,2,2
Jurong East,700000,121,3,2
Bukit Merah,378000,59,2,1
Toa Payoh,380000,68,2,2
Yishun,380000,73,2,2
Yishun,390000,67,2,2
Yishun,760000,113,3,2
Punggol,568000,92,3,2
Hougang,530000,110,3,2
Yishun,380000,73,2,2
Yishun,435000,84,3,2
Jurong West,788000,113,2,2
Bukit Merah,440000,66,3,2
Clementi,420000,67,2,2
Punggol,480000,85,3,2
Choa Chu Kang,500000,104,3,2
Woodlands,618000,93,3,2
Yishun,400000,67,2,2
Jurong West,545000,110,3,2
Jurong West,550000,100,4,2
Yishun,450000,84,3,2
Bedok,385000,67,2,2
Queenstown,920000,93,2,2
Bukit Batok,430000,84,3,2
Woodlands,530000,104,3,2
Punggol,620000,92,3,2
Choa Chu Kang,587000,123,3,2
Bukit Panjang,540000,110,3,2
Pasir Ris,645000,125,3,2
Sengkang,555000,110,3,2
Sengkang,650000,110,3,2
Woodlands,350000,47,1,1
Bukit Panjang,565000,123,3,2
Jurong East,620000,120,3,2
Woodlands,585000,122,3,2
Geylang,1100000,142,3,3
Jurong West,520000,111,3,2
Woodlands,760000,144,3,3
Sengkang,560000,93,2,2
Bukit Batok,790000,113,3,2
Woodlands,488000,103,3,2
Toa Payoh,380000,65,2,2
Yishun,530000,104,3,2
Punggol,750000,130,4,2
Sengkang,731000,128,4,2
Yishun,620000,112,3,2
Bukit Batok,430000,84,3,2
Woodlands,488000,103,3,2
Toa Payoh,380000,65,2,2
Yishun,530000,104,3,2
Ang Mo Kio,415000,67,2,2
Bukit Panjang,720000,130,3,2
Bukit Merah,411000,73,2,2
Bukit Timah,670000,104,3,2
Toa Payoh,688000,104,3,2
